--- Sheet: Sheet1 ---
Name	Mobile Number	Pincode	Salary
Aarav Sharma	9876543210	110001	75000
Aarav Sharma	8765432109	110001	75000
Priya Patel	7890123456	400001	82000
Vikram Singh	8901234567	560001	65000
Vikram Singh	9012345678	560001	65000
Ananya Gupta	6789012345	700001	95000
Rohan Desai	5678901234	110001	72000
Neha Verma	4567890123	600001	88000
Neha Verma	3456789012	600001	88000
Arjun Reddy	2345678901	500001	77000
Pooja Nair	1234567890	400001	69000
Karan Malhotra	9876543211	411001	105000
Karan Malhotra	8765432110	411001	105000
Sneha Kapoor	7654321098	700001	78000
Aditya Roy	6543210987	110001	92000
Meera Joshi	5432109876	560001	67000
Meera Joshi	4321098765	560001	67000
Ravi Kumar	3210987654	400001	85000
Anjali Shah	2109876543	600001	73000
Siddharth Menon	1098765432	110001	99000
Siddharth Menon	9988776655	110001	99000
Tara Bose	8877665544	700001	71000
Amitabh Bachchan	7766554433	400001	12000
Amitabh Bachchan	6655443322	400001	120000
Deepika Rana	5544332211	560001	79000
Rahul Khanna	4433221100	110001	87000
Shalini Iyer	3322110099	600001	74000
Shalini Iyer	2211009988	600001	74000
Vivek Oberoi	1100998877	400001	96000
Nisha Agarwal	9988776654	700001	68000
Manish Pandey	8877665543	110001	83000
Kavita Choudhary	7766554432	560001	76000
Kavita Choudhary	6655443321	560001	76000
Suresh Raina	5544332210	400001	91000
Anita Bhatt	4433221099	600001	70000
Rakesh Jha	3322110098	110001	94000
Rakesh Jha	2211009987	110001	94000
Sunita Kulkarni	1100998876	700001	78000
Prateek Jain	9988776653	400001	85000
Divya Sethi	8877665542	560001	72000
Rohit Mehra	7766554431	110001	89000
Rohit Mehra	6655443320	110001	89000
Swati Saxena	5544332209	600001	76000
Nikhil Arora	4433221098	400001	93000
Pallavi Das	3322110097	700001	71000
Pallavi Das	2211009986	700001	71000
Vijay Thakur	1100998875	560001	98000
Shruti Hegde	9988776652	110001	75000
Aarav Sharma	8877665541	400001	80000
Aarav Sharma	7766554430	400001	80000
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			

